"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"ABT-00006";"";"Rápido";"Disponível";"Abrantes";"Av. António Farinha Pereira 1";"EDP - EDP Comercial";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T14:42:47.463Z"
"ABT-00006";"";"Rápido";"Disponível";"Abrantes";"Av. António Farinha Pereira 1";"EDP - EDP Comercial";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T14:42:47.463Z"
"ABT-00006";"";"Rápido";"Disponível";"Abrantes";"Av. António Farinha Pereira 1";"EDP - EDP Comercial";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T14:42:47.463Z"
"ABT-00012";"";"Rápido";"Disponível";"Abrantes";"Rua das Escolas 42";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T14:43:17.903Z"
"ABT-00012";"";"Rápido";"Disponível";"Abrantes";"Rua das Escolas 42";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T14:43:17.903Z"
"ABT-00013";"";"Rápido";"Disponível";"Abrantes";"Rua das Escolas 42";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T14:43:02.147Z"
"ABT-00013";"";"Rápido";"Disponível";"Abrantes";"Rua das Escolas 42";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T14:43:02.147Z"
"ABT-00017";"";"Rápido";"Disponível";"Abrantes";"CEPSA ABRANTES - A23 KM 44 MOURISCAS N/S";"CPS - CEPSA";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T14:43:24.807Z"
"ABT-00017";"";"Rápido";"Disponível";"Abrantes";"CEPSA ABRANTES - A23 KM 44 MOURISCAS N/S";"CPS - CEPSA";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T14:43:24.807Z"
"ABT-00018";"";"Rápido";"Disponível";"Abrantes";"CEPSA ABRANTES - A23 KM 44 MOURISCAS S/N";"CPS - CEPSA";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T14:43:26.518Z"
