"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"ABF-00008";"";"Semirrápido";"Disponível";"Albufeira";"Vila Galé Cerro Alagoa";"EDP - EDP Comercial";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T20:00:27.404Z"
"ABF-00009";"";"Semirrápido";"Disponível";"Albufeira";"Vila Galé Cerroa Alagoa";"EDP - EDP Comercial";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T20:00:37.553Z"
"ABF-00011";"";"Semirrápido";"Offline";"Albufeira";"Praia Maria Luísa";"BLU - Blue Charge";"Não";"Baixa Tensão Especial";"";"";"";"";"";"NaN";"Offline";"2023-12-31T09:55:02.093Z"
"ABF-00011";"";"Semirrápido";"Offline";"Albufeira";"Praia Maria Luísa";"BLU - Blue Charge";"Não";"Baixa Tensão Especial";"";"";"";"";"";"NaN";"Offline";"2023-12-31T09:55:02.093Z"
"ABF-00012";"";"Semirrápido";"Disponível";"Albufeira";"Makro Albufeira";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T19:59:05.264Z"
"ABF-00012";"";"Semirrápido";"Disponível";"Albufeira";"Makro Albufeira";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T19:59:05.264Z"
"ABF-00013";"";"Semirrápido";"Disponível";"Albufeira";"Makro Albufeira";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T20:00:11.424Z"
"ABF-00013";"";"Semirrápido";"Disponível";"Albufeira";"Makro Albufeira";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T20:00:11.424Z"
"ABF-00024";"";"Rápido";"Disponível";"Albufeira";"Torre da Mosqueira";"GLG - Galp";"Não";"Baixa Tensão Especial";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T20:00:20.086Z"
"ABF-00024";"";"Rápido";"Disponível";"Albufeira";"Torre da Mosqueira";"GLG - Galp";"Não";"Baixa Tensão Especial";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T20:00:20.086Z"
"ABF-00024";"";"Rápido";"Disponível";"Albufeira";"Torre da Mosqueira";"GLG - Galp";"Não";"Baixa Tensão Especial";"";"";"";"";"";"NaN";"Em uso";"2024-03-12T20:00:20.086Z"
"ABF-00035";"";"Rápido";"Offline";"Albufeira";"EN. 395 - Sitio Bemparece";"REP - Repsol";"Não";"Baixa Tensão Especial";"";"";"";"";"";"NaN";"Offline";"2024-03-03T04:35:02.119Z"
"ABF-00035";"";"Rápido";"Offline";"Albufeira";"EN. 395 - Sitio Bemparece";"REP - Repsol";"Não";"Baixa Tensão Especial";"";"";"";"";"";"NaN";"Offline";"2024-03-03T04:35:02.119Z"
"ABF-00035";"";"Rápido";"Offline";"Albufeira";"EN. 395 - Sitio Bemparece";"REP - Repsol";"Não";"Baixa Tensão Especial";"";"";"";"";"";"NaN";"Offline";"2024-03-03T04:35:02.119Z"
"ABF-00036";"";"Semirrápido";"Disponível";"Albufeira";"Pinhal do Concelho, Apartado 887";"GLP - Galp";"Não";"Baixa Tensão Normal";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T19:59:43.246Z"
"ABF-00036";"";"Semirrápido";"Disponível";"Albufeira";"Pinhal do Concelho, Apartado 887";"GLP - Galp";"Não";"Baixa Tensão Normal";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T19:59:43.246Z"
"ABF-00037";"";"Semirrápido";"Disponível";"Albufeira";"Pinhal do Concelho, Apartado 888";"GLP - Galp";"Não";"Baixa Tensão Normal";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T19:59:34.733Z"
"ABF-00037";"";"Semirrápido";"Disponível";"Albufeira";"Pinhal do Concelho, Apartado 888";"GLP - Galp";"Não";"Baixa Tensão Normal";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T19:59:34.733Z"
"ABF-00038";"";"Semirrápido";"Disponível";"Albufeira";"Pinhal do Concelho, Praia da Falésia";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T20:00:23.183Z"
"ABF-00038";"";"Semirrápido";"Disponível";"Albufeira";"Pinhal do Concelho, Praia da Falésia";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T20:00:23.183Z"
"ABF-00039";"";"Semirrápido";"Disponível";"Albufeira";"Pinhal do Concelho, Praia da Falésia";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T20:00:24.047Z"
"ABF-00039";"";"Semirrápido";"Disponível";"Albufeira";"Pinhal do Concelho, Praia da Falésia";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T20:00:24.047Z"
"ABF-00040";"";"Semirrápido";"Disponível";"Albufeira";"Pinhal do Concelho, Praia da Falésia";"GLP - Galp";"Não";"Média Tensão";"";"";"";"";"";"NaN";"Disponível";"2024-03-12T20:00:13.489Z"
